STEP-0; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [12,12]
STEP-36; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [3,19]
STEP-37; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [2,19]
STEP-38; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [1,20]
STEP-39; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [2,21]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [13,13]
STEP-2; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [12,13]
STEP-3; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [13,14]
STEP-4; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [14,14]
STEP-5; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [14,15]
STEP-6; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [13,14]
STEP-7; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [12,15]
STEP-8; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [12,16]
STEP-9; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [11,16]
STEP-10; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [10,15]
STEP-11; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [10,16]
STEP-12; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [11,16]
STEP-13; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [10,16]
STEP-14; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [11,16]
STEP-15; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [10,16]
STEP-16; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [11,16]
STEP-17; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [10,15]
STEP-18; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [9,14]
STEP-19; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [8,15]
STEP-20; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [7,16]
STEP-21; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [6,17]
STEP-22; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [5,17]
STEP-23; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [4,17]
STEP-24; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [3,17]
STEP-25; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [4,16]
STEP-26; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [3,17]
STEP-27; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [2,17]
STEP-28; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [3,16]
STEP-29; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [2,16]
STEP-30; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [3,17]
STEP-31; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [2,16]
STEP-32; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [1,17]
STEP-33; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [0,17]
STEP-34; EVENT position; UNIT ROVER-179f65f3-efa5-403c-b133-94baafede071; POSITION [1,16]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,12]
STEP-2; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,12]
STEP-3; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [15,11]
STEP-4; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,12]
STEP-5; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,12]
STEP-6; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,13]
STEP-7; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [12,12]
STEP-8; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,13]
STEP-9; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,14]
STEP-10; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,13]
STEP-11; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,12]
STEP-12; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,13]
STEP-13; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [12,14]
STEP-14; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,14]
STEP-15; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,15]
STEP-16; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,15]
STEP-17; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,16]
STEP-18; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [15,17]
STEP-19; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [16,17]
STEP-20; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [15,16]
STEP-21; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [15,17]
STEP-22; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,18]
STEP-23; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [15,19]
STEP-24; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [15,20]
STEP-25; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [14,20]
STEP-26; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,19]
STEP-27; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [12,19]
STEP-28; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,19]
STEP-29; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [12,20]
STEP-30; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [13,20]
STEP-31; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [12,20]
STEP-32; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [11,21]
STEP-33; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [10,21]
STEP-34; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [9,20]
STEP-35; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [10,21]
STEP-36; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [11,22]
STEP-37; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [10,21]
STEP-38; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [10,22]
STEP-39; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [9,23]
STEP-40; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [8,23]
STEP-41; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [7,23]
STEP-42; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [6,23]
STEP-43; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [5,22]
STEP-44; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [5,23]
STEP-45; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [6,23]
STEP-46; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [5,22]
STEP-47; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [5,23]
STEP-48; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [6,23]
STEP-49; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [5,22]
STEP-50; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [6,23]
STEP-51; EVENT position; UNIT ROVER-4df2015a-8dbd-4e8e-9927-ae4df566f288; POSITION [5,23]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [13,13]
STEP-2; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,14]
STEP-3; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [13,13]
STEP-4; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [14,14]
STEP-5; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [15,14]
STEP-6; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [16,15]
STEP-7; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [15,14]
STEP-8; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [14,15]
STEP-9; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [14,16]
STEP-10; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [15,15]
STEP-11; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [14,14]
STEP-12; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [13,13]
STEP-13; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,13]
STEP-14; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,13]
STEP-15; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,14]
STEP-16; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,15]
STEP-17; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,15]
STEP-18; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [10,16]
STEP-19; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,15]
STEP-20; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,16]
STEP-21; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [10,16]
STEP-22; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,17]
STEP-23; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,17]
STEP-24; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [13,18]
STEP-25; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,18]
STEP-26; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [13,19]
STEP-27; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [12,18]
STEP-28; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,18]
STEP-29; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [11,19]
STEP-30; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [10,20]
STEP-31; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [9,19]
STEP-32; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [9,20]
STEP-33; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [8,20]
STEP-34; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [9,20]
STEP-35; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [8,21]
STEP-36; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [7,21]
STEP-37; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [6,21]
STEP-38; EVENT position; UNIT ROVER-0ecdbd89-086f-42fa-9808-2b50d23f783e; POSITION [5,22]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [13,13]
STEP-2; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [13,14]
STEP-3; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [12,13]
STEP-4; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [12,14]
STEP-5; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [11,14]
STEP-6; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [10,14]
STEP-7; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [9,14]
STEP-8; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [8,15]
STEP-9; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [7,15]
STEP-10; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [6,14]
STEP-11; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,13]
STEP-12; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [4,12]
STEP-13; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,13]
STEP-14; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [6,13]
STEP-15; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [7,14]
STEP-16; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [7,15]
STEP-17; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [6,15]
STEP-18; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,15]
STEP-19; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,16]
STEP-20; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,17]
STEP-21; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,18]
STEP-22; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [6,17]
STEP-23; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [5,16]
STEP-24; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [4,17]
STEP-25; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [4,18]
STEP-26; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [4,19]
STEP-27; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [4,20]
STEP-28; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [3,19]
STEP-29; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [2,19]
STEP-30; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [3,19]
STEP-31; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [2,19]
STEP-32; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [2,20]
STEP-33; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [1,21]
STEP-34; EVENT position; UNIT ROVER-1b64d3fa-18a2-406e-b94b-9e23137cdfe0; POSITION [0,22]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [13,13]
STEP-2; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [13,14]
STEP-3; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [12,15]
STEP-4; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [12,16]
STEP-5; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [13,16]
STEP-6; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [12,17]
STEP-7; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [13,17]
STEP-8; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [14,18]
STEP-9; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [14,19]
STEP-10; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [13,20]
STEP-11; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [12,19]
STEP-12; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [11,18]
STEP-13; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [10,18]
STEP-14; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [10,19]
STEP-15; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [9,19]
STEP-16; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [8,20]
STEP-17; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [7,19]
STEP-18; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [8,20]
STEP-19; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [9,21]
STEP-20; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [9,22]
STEP-21; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [8,22]
STEP-22; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [7,23]
STEP-23; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [8,23]
STEP-24; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [7,22]
STEP-25; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [7,23]
STEP-26; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [6,23]
STEP-27; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [7,23]
STEP-28; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [6,22]
STEP-29; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [5,23]
STEP-30; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [6,23]
STEP-31; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [5,22]
STEP-32; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [4,21]
STEP-33; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [4,22]
STEP-34; EVENT position; UNIT ROVER-7105ef2b-ef32-4d8a-9a3e-49198b572dcb; POSITION [4,23]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,13]
STEP-2; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [14,12]
STEP-3; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [15,11]
STEP-4; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [14,10]
STEP-5; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,11]
STEP-6; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,12]
STEP-7; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,11]
STEP-8; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,12]
STEP-9; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,13]
STEP-10; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,14]
STEP-11; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,14]
STEP-12; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,15]
STEP-13; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,15]
STEP-14; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [14,16]
STEP-15; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,16]
STEP-16; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [14,17]
STEP-17; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,16]
STEP-18; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,15]
STEP-19; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,15]
STEP-20; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [10,15]
STEP-21; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,15]
STEP-22; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,16]
STEP-23; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [10,17]
STEP-24; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,18]
STEP-25; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [10,19]
STEP-26; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,18]
STEP-27; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,19]
STEP-28; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,20]
STEP-29; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,21]
STEP-30; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,22]
STEP-31; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,23]
STEP-32; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [13,22]
STEP-33; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [12,22]
STEP-34; EVENT position; UNIT ROVER-ec928ed5-6f01-4879-9a25-36b8c3dc2d4f; POSITION [11,23]
